"Variavel_1";"Variavel_2";"Correlacao_Parcial";"P_Valor";"Significativo"
"MP25";"UR";-0,6144;"1.29e-26";"***"
"O3";"UR";-0,454;"9.26e-14";"***"
"O3";"TEMP";0,4482;"2.08e-13";"***"
"MP25";"TEMP";0,4243;"4.88e-12";"***"
"MP25";"O3";0,413;"1.99e-11";"***"
"TEMP";"UR";-0,3297;"1.43e-07";"***"
"UR";"VV";-0,2336;"2.40e-04";"***"
"MP25";"NO2";0,233;"2.48e-04";"***"
"NO2";"TEMP";0,2159;"7.02e-04";"***"
"NO2";"VV";-0,177;"5.66e-03";"**"
"NO2";"UR";-0,1538;"1.64e-02";"*"
"O3";"VV";-0,1221;"5.73e-02";"ns"
"NO2";"O3";0,1183;"6.57e-02";"ns"
"MP25";"VV";-0,0448;"4.87e-01";"ns"
"TEMP";"VV";-0,0423;"5.12e-01";"ns"
