"Termo";"Estimate";"Exponencial_RR_OR";"Std. Error";"t value";"Pr(>|t|)"
"(Intercept)";8,66131736311335;5775,13760674179;0,384710391352316;22,5138638253765;6,29463928555714e-85
"municipioGuarulhos";-0,421386002410301;0,656136782141999;0,0411947679044554;-10,229114614449;5,46483265104205e-23
"municipioPiracicaba";0,0575102047691994;1,05919607945111;0,0316199444791948;1,81879524826616;0,0693682557473879
"municipioRibeirao Preto";-0,0361490148036616;0,964496558508771;0,0380097615489234;-0,951045555945761;0,341908288705671
"municipioSantos";0,0548625793649024;1,05639543416885;0,07311885280265;0,750320570714891;0,453312846241289
"municipioSao Bernardo do Campo";-0,143800126801449;0,866060833109951;0,0491241391823806;-2,92728033905225;0,00352989733888329
"municipioSao Jose dos Campos";-0,330753128682384;0,718382495184439;0,0415274231152204;-7,9646918559018;6,67705683103975e-15
"municipioSao Paulo";-0,441241362268346;0,643237434589013;0,0605898231723982;-7,28243356995559;8,81610019355101e-13
"municipioTaubate";0,219232068250889;1,24512019602777;0,0423268385652049;5,17950491183412;2,90914579259113e-07
"MP25:NO2";-0,000226620884051908;0,999773404792521;0,000126299103273597;-1,79431902664413;0,0731920684170277
"UR:VV";-0,00642885441063777;0,993591766460688;0,00319097326001762;-2,01470018291607;0,0443165788930304
